,Accuracy,Sensitivity,Specificity,MCC,AUC,BACC,Precision,F1 Score
yat_pred_rf,0.491,0.645,0.273,-0.087,0.459,0.459,0.556,0.597
yat_pred_xgb,0.472,0.581,0.318,-0.103,0.449,0.449,0.545,0.562
yat_pred_svc,0.472,0.677,0.182,-0.157,0.43,0.43,0.538,0.6
yes_pred_rf,0.472,0.677,0.182,-0.157,0.43,0.43,0.538,0.6
yes_pred_xgb,0.623,0.742,0.455,0.204,0.598,0.598,0.657,0.697
yes_pred_svc,0.453,0.71,0.091,-0.242,0.4,0.4,0.524,0.603
yke_pred_rf,0.434,0.742,0.0,-0.355,0.371,0.371,0.511,0.605
yke_pred_xgb,0.528,0.613,0.409,0.022,0.511,0.511,0.594,0.603
yke_pred_svc,0.528,0.903,0.0,-0.206,0.452,0.452,0.56,0.691
ypc_pred_rf,0.491,0.645,0.273,-0.087,0.459,0.459,0.556,0.597
ypc_pred_xgb,0.566,0.548,0.591,0.137,0.57,0.57,0.654,0.596
ypc_pred_svc,0.491,0.71,0.182,-0.124,0.446,0.446,0.55,0.62
yss_pred_rf,0.453,0.71,0.091,-0.242,0.4,0.4,0.524,0.603
yss_pred_xgb,0.434,0.581,0.227,-0.2,0.404,0.404,0.514,0.545
yss_pred_svc,0.547,0.871,0.091,-0.059,0.481,0.481,0.574,0.692
ycd_pred_rf,0.566,0.774,0.273,0.054,0.523,0.523,0.6,0.676
ycd_pred_xgb,0.566,0.613,0.5,0.112,0.556,0.556,0.633,0.623
ycd_pred_svc,0.566,0.871,0.136,0.011,0.504,0.504,0.587,0.701
ycn_pred_rf,0.453,0.613,0.227,-0.169,0.42,0.42,0.528,0.567
ycn_pred_xgb,0.434,0.613,0.182,-0.22,0.397,0.397,0.514,0.559
ycn_pred_svc,0.491,0.71,0.182,-0.124,0.446,0.446,0.55,0.62
ykc_pred_rf,0.434,0.71,0.045,-0.308,0.378,0.378,0.512,0.595
ykc_pred_xgb,0.509,0.613,0.364,-0.024,0.488,0.488,0.576,0.594
ykc_pred_svc,0.528,0.903,0.0,-0.206,0.452,0.452,0.56,0.691
yce_pred_rf,0.453,0.613,0.227,-0.169,0.42,0.42,0.528,0.567
yce_pred_xgb,0.396,0.484,0.273,-0.243,0.378,0.378,0.484,0.484
yce_pred_svc,0.491,0.71,0.182,-0.124,0.446,0.446,0.55,0.62
ysc_pred_rf,0.509,0.806,0.091,-0.141,0.449,0.449,0.556,0.658
ysc_pred_xgb,0.472,0.677,0.182,-0.157,0.43,0.43,0.538,0.6
ysc_pred_svc,0.585,1.0,0.0,0.0,0.5,0.5,0.585,0.738
yac_pred_rf,0.491,0.613,0.318,-0.071,0.466,0.466,0.559,0.585
yac_pred_xgb,0.415,0.452,0.364,-0.182,0.408,0.408,0.5,0.475
yac_pred_svc,0.604,1.0,0.045,0.165,0.523,0.523,0.596,0.747
yma_pred_rf,0.509,0.645,0.318,-0.038,0.482,0.482,0.571,0.606
yma_pred_xgb,0.528,0.516,0.545,0.061,0.531,0.531,0.615,0.561
yma_pred_svc,0.547,0.871,0.091,-0.059,0.481,0.481,0.574,0.692
y_pred_stacked,0.943,1.0,0.864,0.887,0.932,0.932,0.912,0.954
